volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,eruption_count,country-code
222055,Ol Kokwe,Shield,Unknown,Kenya,Africa and Red Sea,Africa (eastern),0.62,36.075,1130,Rift zone / Continental crust (>25 km),Evidence Credible,151,8229,115689,2700016,0,404
355050,Olca-Paruma,Stratovolcano,Unknown,Chile-Bolivia,South America,"Northern Chile, Bolivia and Argentina",-20.939,-68.413,5705,Subduction zone / Continental crust (>25 km),Eruption Observed,20,225,2318,16180,1,0
222090,Olkaria,Pyroclastic cone,1770,Kenya,Africa and Red Sea,Africa (eastern),-0.904,36.292,2434,Rift zone / Continental crust (>25 km),Eruption Dated,59747,59747,208003,8437829,1,404
300052,Olkoviy Volcanic Group,Volcanic field,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.02,157.53,681,Subduction zone / Continental crust (>25 km),Evidence Credible,34,34,46,3780,0,643
210030,Olot Volcanic Field,Pyroclastic cone,Unknown,Spain,Mediterranean and Western Asia,Western Europe,42.17,2.53,893,Intraplate / Continental crust (>25 km),Evidence Credible,33377,33377,101153,5238117,0,724
283142,Omanago Group,Lave dome,-3050,Japan,"Japan, Taiwan, Marianas",Honshu,36.795,139.507,2341,Subduction zone / Continental crust (>25 km),Eruption Dated,698,16316,113236,10276159,0,392
283040,Ontakesan,Complex,2014,Japan,"Japan, Taiwan, Marianas",Honshu,35.893,137.48,3067,Subduction zone / Continental crust (>25 km),Eruption Observed,176,2098,86634,8307889,4,392
300080,Opala,Caldera,1776,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.543,157.339,2439,Subduction zone / Continental crust (>25 km),Eruption Observed,22,22,50,58949,4,643
374010,Oraefajokull,Stratovolcano,1728,Iceland,Iceland and Arctic Ocean,Iceland (southeastern),64.05,-16.633,2010,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,2,367,2723,2,352
341100,"Orizaba, Pico de",Stratovolcano,1846,Mexico,México and Central America,Mexico,19.03,-97.27,5564,Subduction zone / Continental crust (>25 km),Eruption Observed,413,4469,759747,5962920,12,484
345010,Orosi,Stratovolcano,Unknown,Costa Rica,México and Central America,Costa Rica,10.98,-85.473,1659,Subduction zone / Continental crust (>25 km),Evidence Uncertain,43,1024,31463,588207,0,188
285010,Oshima-Oshima,Stratovolcano,1790,Japan,"Japan, Taiwan, Marianas",Hokkaido,41.51,139.367,732,Subduction zone / Continental crust (>25 km),Eruption Observed,6,6,6,88023,4,392
283290,Osorezan,Stratovolcano,1787,Japan,"Japan, Taiwan, Marianas",Honshu,41.279,141.12,878,Subduction zone / Continental crust (>25 km),Eruption Observed,11577,42590,80028,1714622,1,392
358010,Osorno,Stratovolcano,1869,Chile,South America,Southern Chile and Argentina,-41.105,-72.496,2659,Subduction zone / Continental crust (>25 km),Eruption Observed,88,674,11964,655492,14,152
300055,Ostanets,Shield,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.146,157.322,719,Subduction zone / Continental crust (>25 km),Evidence Credible,0,0,66,6106,0,643
300056,Otdelniy,Pyroclastic cone,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.221,157.435,814,Subduction zone / Continental crust (>25 km),Evidence Credible,14,14,34,8527,0,643
342110,Pacaya,Complex,2020,Guatemala,México and Central America,Guatemala,14.382,-90.601,2569,Subduction zone / Continental crust (>25 km),Eruption Observed,4250,53579,2454482,7033094,34,320
284170,Pagan,Stratovolcano,2012,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.13,145.8,570,Subduction zone / Crustal thickness unknown,Eruption Observed,0,0,0,0,24,840
222053,Paka,Shield,-7550,Kenya,Africa and Red Sea,Africa (eastern),0.92,36.18,1697,Rift zone / Continental crust (>25 km),Eruption Dated,468,4354,62835,1256175,0,404
358080,Pali-Aike Volcanic Field,Pyroclastic cone,-5550,Chile-Argentina,South America,Southern Chile and Argentina,-52.082,-69.698,282,Subduction zone / Continental crust (>25 km),Eruption Dated,288,288,651,95765,0,0
357022,Palomo,Stratovolcano,Unknown,Chile,South America,Central Chile and Argentina,-34.608,-70.295,4860,Subduction zone / Continental crust (>25 km),Evidence Credible,162,325,4732,965894,0,152
264150,Paluweh,Stratovolcano,2013,Indonesia,Indonesia,Lesser Sunda Islands,-8.32,121.708,875,Subduction zone / Crustal thickness unknown,Eruption Observed,446,446,5284,548803,10,360
355042,Pampa Luxsar,Volcanic field,Unknown,Bolivia,South America,"Northern Chile, Bolivia and Argentina",-20.85,-68.2,5543,Subduction zone / Continental crust (>25 km),Evidence Uncertain,419,419,1391,16459,0,0
211041,Panarea,Stratovolcano,Unknown,Italy,Mediterranean and Western Asia,Italy,38.638,15.064,399,Subduction zone / Continental crust (>25 km),Evidence Uncertain,2127,2127,42429,1319585,0,380
211071,Pantelleria,Shield,1891,Italy,Mediterranean and Western Asia,Italy,36.77,12.02,836,Rift zone / Continental crust (>25 km),Eruption Observed,6561,10985,12403,142817,3,380
263100,Papandayan,Stratovolcano,2002,Indonesia,Indonesia,Java,-7.32,107.73,2665,Subduction zone / Continental crust (>25 km),Eruption Observed,6835,163468,1637971,19312972,4,360
341081,Papayo,Lava dome,Unknown,Mexico,México and Central America,Mexico,19.308,-98.7,3600,Subduction zone / Continental crust (>25 km),Evidence Credible,377,2081,2207308,28677002,0,484
355012,Parinacota,Stratovolcano,290,Chile-Bolivia,South America,"Northern Chile, Bolivia and Argentina",-18.166,-69.142,6336,Subduction zone / Continental crust (>25 km),Eruption Dated,18,123,3442,63717,0,0
263070,Patuha,Stratovolcano,Unknown,Indonesia,Indonesia,Java,-7.162,107.4,2422,Subduction zone / Continental crust (>25 km),Evidence Credible,12576,76063,1516827,23632738,0,360
312030,Pavlof,Stratovolcano,2016,United States,Alaska,Alaska Peninsula,55.417,-161.894,2493,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,0,3002,47,840
357066,Payun Matru,Shield,-5050,Argentina,South America,Central Chile and Argentina,-36.422,-69.241,3715,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,151,13636,0,32
360120,Pelee,Stratovolcano,1932,France,West Indies,West Indies,14.809,-61.165,1394,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,251,5025,382633,609576,10,250
263291,Penanggungan,Stratovolcano,Unknown,Indonesia,Indonesia,Java,-7.616,112.62,1631,Subduction zone / Continental crust (>25 km),Evidence Credible,19435,416275,4605710,25773159,0,360
390031,Penguin Island,Stratovolcano,1905,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-62.1,-57.93,180,Intraplate / Continental crust (>25 km),Eruption Observed,0,0,0,0,3,10
263040,Perbakti-Gagak,Stratovolcano,1939,Indonesia,Indonesia,Java,-6.75,106.7,1699,Subduction zone / Continental crust (>25 km),Eruption Observed,1490,28784,2333456,36630568,6,360
261030,Peuet Sague,Complex,2000,Indonesia,Indonesia,Sumatra,4.903,96.289,2785,Subduction zone / Continental crust (>25 km),Eruption Observed,53,144,16227,1862448,7,360
382020,Pico,Stratovolcano,1720,Portugal,Atlantic Ocean,Azores,38.47,-28.4,2351,Rift zone / Oceanic crust (< 15 km),Eruption Observed,304,5944,31521,56736,4,620
382081,Picos Volcanic System,Pyroclastic cone,1652,Portugal,Atlantic Ocean,Azores,37.78,-25.67,350,Rift zone / Oceanic crust (< 15 km),Eruption Observed,115732,115732,123990,139730,1,620
344080,"Pilas, Las",Complex,1954,Nicaragua,México and Central America,Nicaragua,12.495,-86.688,1088,Subduction zone / Continental crust (>25 km),Eruption Observed,182,8324,299481,3351820,3,558
341001,Pinacate,Pyroclastic cone,Unknown,Mexico,México and Central America,Mexico,31.772,-113.498,1200,Subduction zone / Continental crust (>25 km),Evidence Credible,92,92,408,62753,2,484
273083,Pinatubo,Stratovolcano,1993,Philippines,Philippines and SE Asia,Luzon,15.13,120.35,1486,Subduction zone / Continental crust (>25 km),Eruption Observed,725,3808,1148684,21875048,4,608
357040,Planchon-Peteroa,Stratovolcano,2019,Chile,South America,Central Chile and Argentina,-35.223,-70.568,3977,Subduction zone / Continental crust (>25 km),Eruption Observed,6,48,1345,634959,22,152
360110,"Plat Pays, Morne",Stratovolcano,1270,Dominica,West Indies,West Indies,15.255,-61.341,940,Subduction zone / Oceanic crust (< 15 km),Eruption Dated,11227,38372,57856,557207,1,212
345034,Platanar,Stratovolcano,Unknown,Costa Rica,México and Central America,Costa Rica,10.3,-84.366,2267,Subduction zone / Continental crust (>25 km),Evidence Credible,620,40382,339271,3381523,0,188
390013,"Pleiades, The",Stratovolcano,-1050,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-72.67,165.5,3040,Intraplate / Continental crust (>25 km),Eruption Dated,0,0,0,0,0,10
345040,Poas,Stratovolcano,2019,Costa Rica,México and Central America,Costa Rica,10.2,-84.233,2708,Subduction zone / Continental crust (>25 km),Eruption Observed,1947,11107,950796,3411023,54,188
273020,Pocdol Mountains,Compound,Unknown,Philippines,Philippines and SE Asia,Luzon,13.05,123.958,1102,Subduction zone / Continental crust (>25 km),Unrest / Holocene,2281,116612,808931,3440360,0,608
300470,Pogranychny,Shield,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.85,159.8,1427,Subduction zone / Continental crust (>25 km),Evidence Uncertain,0,0,8,9983,0,643
275080,Popa,Stratovolcano,-442,Burma (Myanmar),Philippines and SE Asia,Southeast Asia,20.92,95.25,1518,Intraplate / Continental crust (>25 km),Eruption Dated,1108,22922,452931,5923206,0,0
341090,Popocatepetl,Stratovolcano,2020,Mexico,México and Central America,Mexico,19.023,-98.622,5393,Subduction zone / Continental crust (>25 km),Eruption Observed,325,2584,634054,26509510,37,484
214090,Porak,Stratovolcano,-778,Armenia-Azerbaijan,Mediterranean and Western Asia,Western Asia,40.028,45.74,3029,Intraplate / Continental crust (>25 km),Eruption Dated,194,955,62882,1713373,0,0
234040,"Possession, Ile de la",Stratovolcano,Unknown,France,Middle East and Indian Ocean,Indian Ocean (southern),-46.42,51.75,934,Rift zone / Oceanic crust (< 15 km),Evidence Credible,0,0,0,0,0,250
371070,Prestahnukur,Subglacial,-3350,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),64.583,-20.666,1385,Rift zone / Oceanic crust (< 15 km),Eruption Dated,60,60,233,183485,0,352
234060,Prince Edward Island,Shield,Unknown,South Africa,Middle East and Indian Ocean,Indian Ocean (southern),-46.63,37.95,672,Rift zone / Oceanic crust (< 15 km),Evidence Credible,0,0,0,0,0,710
390140,Protector Seamounts,Submarine,1962,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,-55.912,-28.167,-55,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,1,826
355107,Pular,Stratovolcano,Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-24.188,-68.054,6233,Subduction zone / Continental crust (>25 km),Evidence Uncertain,0,0,50,5000,1,152
352011,Pululahua,Caldera,290,Ecuador,South America,Ecuador,0.038,-78.463,3356,Subduction zone / Continental crust (>25 km),Eruption Dated,534403,534403,1192411,3330856,0,218
357160,Puntiagudo-Cordon Cenizos,Stratovolcano,1850,Chile,South America,Central Chile and Argentina,-40.969,-72.264,2493,Subduction zone / Continental crust (>25 km),Eruption Observed,30,284,5666,698814,2,152
351060,Purace,Stratovolcano,1977,Colombia,South America,Colombia,2.32,-76.4,4650,Subduction zone / Continental crust (>25 km),Eruption Observed,1465,7152,335698,1751540,24,170
355094,Purico Complex,Pyroclastic shield,Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-23.0,-67.75,5703,Subduction zone / Continental crust (>25 km),Evidence Credible,0,11,1024,10741,0,152
357150,Puyehue-Cordon Caulle,Stratovolcano,2012,Chile,South America,Central Chile and Argentina,-40.59,-72.117,2236,Subduction zone / Continental crust (>25 km),Eruption Observed,129,783,7163,515357,13,152
360140,Qualibou,Caldera,1766,Saint Lucia,West Indies,West Indies,13.83,-61.05,777,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,87921,87921,172439,690495,1,662
357121,Quetrupillan,Stratovolcano,255,Chile,South America,Central Chile and Argentina,-39.496,-71.722,2360,Subduction zone / Continental crust (>25 km),Eruption Dated,129,518,11191,269087,1,152
360020,"Quill, The",Stratovolcano,250,Netherlands,West Indies,West Indies,17.478,-62.96,601,Subduction zone / Oceanic crust (< 15 km),Eruption Dated,2195,2195,8361,134936,0,528
354000,Quimsachata,Lava dome,-4450,Peru,South America,Peru,-14.176,-71.351,3693,Subduction zone / Continental crust (>25 km),Eruption Dated,5061,9561,85048,580016,0,604
252140,Rabaul,Pyroclastic shield,2014,Papua New Guinea,Melanesia and Australia,New Britain,-4.271,152.203,688,Subduction zone / Continental crust (>25 km),Eruption Observed,3311,43531,199361,252121,18,598
