volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,eruption_count,country-code
283001,Abu,Shield,-6850,Japan,"Japan, Taiwan, Marianas",Honshu,34.5,131.6,641,Subduction zone / Continental crust (>25 km),Eruption Dated,3597,9594,117805,4071152,0,392
355096,Acamarachi,Stratovolcano,Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-23.292,-67.618,6023,Subduction zone / Continental crust (>25 km),Evidence Credible,0,7,294,9092,0,152
342080,Acatenango,Stratovolcano,1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,4329,60730,1042836,7634778,4,320
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated,127863,127863,218469,2253483,0,792
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,USA (Washington),46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,0,70,4019,393303,0,840
283170,Adatarayama,Stratovolcano,1996,Japan,"Japan, Taiwan, Marianas",Honshu,37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Eruption Observed,428,3936,717078,5024654,4,392
221170,Adwa,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,10.07,40.84,1733,Rift zone / Intermediate crust (15-25 km),Evidence Credible,101,485,18645,1242922,2,231
221110,Afdera,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,51,6042,8611,161009,0,231
284160,Agrigan,Stratovolcano,1917,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.77,145.67,965,Subduction zone / Crustal thickness unknown,Eruption Observed,0,0,0,0,1,840
342100,Agua,Stratovolcano,Unknown,Guatemala,México and Central America,Guatemala,14.465,-90.743,3760,Subduction zone / Continental crust (>25 km),Evidence Credible,9890,114404,2530449,7441660,1,320
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,Azores,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Eruption Observed,406,17272,113131,119653,2,620
358062,Aguilera,Stratovolcano,-1250,Chile,South America,Southern Chile and Argentina,-50.33,-73.75,2546,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,103,5698,0,152
264020,Agung,Stratovolcano,2019,Indonesia,Indonesia,Lesser Sunda Islands,-8.343,115.508,2997,Subduction zone / Continental crust (>25 km),Eruption Observed,5657,76781,968381,4550176,5,360
284141,Ahyi,Submarine,2014,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Eruption Dated,0,0,0,0,3,840
282080,Aira,Caldera,2020,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.593,130.657,1117,Subduction zone / Continental crust (>25 km),Eruption Observed,4918,113874,905254,2610033,36,392
300125,Akademia Nauk,Stratovolcano,1996,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.98,159.45,1180,Subduction zone / Continental crust (>25 km),Eruption Observed,3,3,615,12484,1,643
283130,Akagisan,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.56,139.193,1828,Subduction zone / Continental crust (>25 km),Evidence Uncertain,961,4538,1116366,16718375,2,392
285070,Akan,Caldera,2008,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.384,144.013,1499,Subduction zone / Continental crust (>25 km),Eruption Observed,2062,2062,9756,929538,24,392
283230,Akita-Komagatake,Stratovolcano,1971,Japan,"Japan, Taiwan, Marianas",Honshu,39.761,140.799,1637,Subduction zone / Continental crust (>25 km),Eruption Observed,376,3864,216708,2521611,5,392
283260,Akita-Yakeyama,Stratovolcano,1997,Japan,"Japan, Taiwan, Marianas",Honshu,39.964,140.757,1366,Subduction zone / Continental crust (>25 km),Eruption Observed,127,721,55493,3122037,13,392
282022,Akusekijima,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,29.465,129.594,555,Subduction zone / Oceanic crust (< 15 km),Evidence Uncertain,52,52,199,749,0,392
311320,Akutan,Stratovolcano,1992,United States,Alaska,Aleutian Islands,54.134,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,24,233,4361,43,840
290390,Alaid,Stratovolcano,2018,Russia,Kuril Islands,Kuril Islands,50.861,155.565,2285,Subduction zone / Continental crust (>25 km),Eruption Observed,0,64,64,2887,16,643
221112,Alayta,Shield,1915,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Eruption Observed,156,925,13459,330411,2,231
353040,Alcedo,Shield,1993,Ecuador,South America,Galapagos Islands,-0.43,-91.12,1130,Rift zone / Oceanic crust (< 15 km),Eruption Observed,290,290,388,10756,3,218
221090,Ale Bagu,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.512,40.631,988,Rift zone / Intermediate crust (15-25 km),Evidence Credible,2,919,8424,278270,0,231
221040,Alid,Stratovolcano,Unknown,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,14.88,39.92,904,Rift zone / Intermediate crust (15-25 km),Evidence Credible,517,2447,25942,1216179,0,232
352031,Aliso,Stratovolcano,-2450,Ecuador,South America,Ecuador,-0.53,-78.0,4267,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,0,0,0,218
320020,Alligator Lake,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,60.42,-135.42,2217,Intraplate / Continental crust (>25 km),Evidence Credible,0,0,47,20636,0,124
342040,Almolonga,Stratovolcano,1818,Guatemala,México and Central America,Guatemala,14.797,-91.519,3173,Subduction zone / Continental crust (>25 km),Eruption Observed,91323,287487,1126942,6828403,5,320
300450,Alney-Chashakondzha,Stratovolcano,1600,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.656,159.647,2570,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,3,10679,1,643
221060,Alu-Dalafilla,Fissure vent(s),2008,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.793,40.553,578,Rift zone / Intermediate crust (15-25 km),Eruption Observed,0,9,11209,478054,1,231
221270,Alutu,Stratovolcano,-50,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.77,38.78,2335,Rift zone / Continental crust (>25 km),Eruption Dated,6011,25619,314216,6813710,0,231
311390,Amak,Stratovolcano,1796,United States,Alaska,Aleutian Islands,55.424,-163.149,488,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,0,1345,2,840
268072,Amasing,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,-0.53,127.48,1030,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,59,803,26015,92417,0,360
257030,Ambae,Shield,2018,Vanuatu,Melanesia and Australia,Vanuatu,-15.389,167.835,1496,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,73,1279,4326,73308,8,548
273088,Ambalatungan Group,Compound,Unknown,Philippines,Philippines and SE Asia,Luzon,17.32,121.1,2329,Subduction zone / Continental crust (>25 km),Unrest / Holocene,493,3803,55724,4652400,1,608
266020,Ambang,Complex,2005,Indonesia,Indonesia,Sulawesi,0.75,124.42,1795,Subduction zone / Continental crust (>25 km),Eruption Observed,9155,46469,319137,1730602,2,360
254020,Ambitle,Stratovolcano,-350,Papua New Guinea,Melanesia and Australia,New Ireland,-4.08,153.65,450,Subduction zone / Crustal thickness unknown,Eruption Dated,1643,9195,9779,24367,0,598
233011,Ambre-Bobaomby,Volcanic field,Unknown,Madagascar,Middle East and Indian Ocean,Indian Ocean (western),-12.6,49.15,1475,Intraplate / Continental crust (>25 km),Evidence Credible,20396,20396,51426,408436,0,450
257040,Ambrym,Pyroclastic shield,2018,Vanuatu,Melanesia and Australia,Vanuatu,-16.25,168.12,1334,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,9,186,10826,63999,54,548
234001,Amsterdam Island,Stratovolcano,Unknown,France,Middle East and Indian Ocean,Indian Ocean (southern),-37.83,77.52,881,Rift zone / Oceanic crust (< 15 km),Evidence Credible,0,0,0,0,0,250
311190,Amukta,Stratovolcano,1997,United States,Alaska,Aleutian Islands,52.5,-171.252,1066,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,0,0,0,8,840
284200,Anatahan,Stratovolcano,2008,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.35,145.67,790,Subduction zone / Crustal thickness unknown,Eruption Observed,0,0,0,0,4,840
300390,Anaun,Stratovolcano,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.32,158.83,1828,Subduction zone / Continental crust (>25 km),Evidence Uncertain,2,4,56,5933,0,643
354004,Andahua-Orcopampa,Pyroclastic cone,1490,Peru,South America,Peru,-15.42,-72.33,4713,Subduction zone / Continental crust (>25 km),Eruption Dated,10317,10317,16541,171897,2,604
390023,Andrus,Shield,Unknown,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-75.8,-132.33,2978,Intraplate / Continental crust (>25 km),Evidence Uncertain,0,0,0,0,0,10
257110,Aneityum,Stratovolcano,Unknown,Vanuatu,Melanesia and Australia,Vanuatu,-20.2,169.78,852,Subduction zone / Intermediate crust (15-25 km),Evidence Uncertain,176,692,703,22731,0,548
312090,Aniakchak,Caldera,1931,United States,Alaska,Alaska Peninsula,56.88,-158.17,1341,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,36,479,10,840
357153,Antillanca Volcanic Complex,Stratovolcano,-230,Chile,South America,Central Chile and Argentina,-40.783,-72.15,1979,Subduction zone / Continental crust (>25 km),Eruption Dated,87,521,5986,530586,0,152
352030,Antisana,Stratovolcano,1802,Ecuador,South America,Ecuador,-0.481,-78.141,5753,Subduction zone / Continental crust (>25 km),Eruption Observed,232,2220,56154,3314142,3,218
355180,Antofagasta Volcanic Field,Pyroclastic cone,Unknown,Argentina,South America,"Northern Chile, Bolivia and Argentina",-26.12,-67.4,3495,Subduction zone / Continental crust (>25 km),Evidence Uncertain,188,188,257,4295,0,32
357080,Antuco,Stratovolcano,1869,Chile,South America,Central Chile and Argentina,-37.406,-71.349,2979,Subduction zone / Continental crust (>25 km),Eruption Observed,117,474,3872,381623,15,152
284060,Aogashima,Stratovolcano,1785,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",32.458,139.759,423,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,232,232,232,8559,3,392
358024,Apagado,Pyroclastic cone,-590,Chile,South America,Southern Chile and Argentina,-41.88,-72.58,1210,Subduction zone / Continental crust (>25 km),Eruption Dated,5,44,4474,354002,0,152
343010,Apaneca Range,Stratovolcano,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.891,-89.786,2036,Subduction zone / Continental crust (>25 km),Evidence Credible,11141,151502,1113282,6215853,1,222
343071,Apastepeque Field,Volcanic field,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.72,-88.77,700,Subduction zone / Continental crust (>25 km),Evidence Credible,377730,377730,687849,6372608,0,222
271030,Apo,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Mindanao,6.989,125.269,2938,Subduction zone / Continental crust (>25 km),Unrest / Holocene,1355,5431,767800,7768291,0,608
344091,Apoyeque,Pyroclastic shield,-50,Nicaragua,México and Central America,Nicaragua,12.242,-86.342,518,Subduction zone / Continental crust (>25 km),Eruption Dated,2369,116718,1342581,3445854,0,558
355160,Aracar,Stratovolcano,Unknown,Argentina,South America,"Northern Chile, Bolivia and Argentina",-24.29,-67.783,6095,Subduction zone / Continental crust (>25 km),Evidence Credible,0,0,94,4803,1,32
214060,Aragats,Stratovolcano,Unknown,Armenia,Mediterranean and Western Asia,Western Asia,40.53,44.2,4095,Intraplate / Continental crust (>25 km),Evidence Credible,0,163,150143,3046562,0,51
213040,Ararat,Stratovolcano,1840,Turkey,Mediterranean and Western Asia,Turkey,39.7,44.3,5165,Intraplate / Continental crust (>25 km),Eruption Observed,25,1239,135563,2811646,3,792
273084,Arayat,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Luzon,15.2,120.742,1026,Subduction zone / Continental crust (>25 km),Evidence Uncertain,7846,190674,2805269,27216491,0,608
221126,Ardoukoba,Fissure vent(s),1978,Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,11.58,42.47,298,Rift zone / Intermediate crust (15-25 km),Eruption Observed,2895,2895,6898,560146,1,262
345033,Arenal,Stratovolcano,2010,Costa Rica,México and Central America,Costa Rica,10.463,-84.703,1670,Subduction zone / Continental crust (>25 km),Eruption Observed,3429,15643,96512,3027485,8,188
231090,"Arhab, Harra of",Volcanic field,500,Yemen,Middle East and Indian Ocean,Middle East (southern),15.63,44.08,3100,Intraplate / Continental crust (>25 km),Eruption Observed,284443,284443,820695,6517834,0,887
263290,Arjuno-Welirang,Stratovolcano,1952,Indonesia,Indonesia,Java,-7.733,112.575,3339,Subduction zone / Continental crust (>25 km),Eruption Observed,2584,53983,4143137,25385433,3,360
305011,Arxan-Chaihe,Pyroclastic cone,0,China,Kamchatka and Mainland Asia,China (eastern),47.45,120.8,1677,Intraplate / Continental crust (>25 km),Eruption Dated,6435,6435,6435,188163,0,156
300058,Asacha,Complex,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.355,157.827,1910,Subduction zone / Continental crust (>25 km),Evidence Credible,0,0,34,238467,0,643
283110,Asamayama,Complex,2019,Japan,"Japan, Taiwan, Marianas",Honshu,36.406,138.523,2568,Subduction zone / Continental crust (>25 km),Eruption Observed,583,22371,457576,7629353,137,392
385050,Ascension,Stratovolcano,1508,United Kingdom,Atlantic Ocean,Atlantic Ocean (central),-7.95,-14.37,858,Rift zone / Oceanic crust (< 15 km),Eruption Dated,614,1149,1149,1149,2,826
373060,Askja,Stratovolcano,1961,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),65.033,-16.783,1080,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,13028,11,352
282110,Asosan,Caldera,2020,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,32.884,131.104,1592,Subduction zone / Continental crust (>25 km),Eruption Observed,75559,75559,234591,6507519,168,392
221125,Assab Volcanic Field,Volcanic field,Unknown,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,12.95,42.43,987,Rift zone / Intermediate crust (15-25 km),Evidence Credible,9,9,97,181952,0,232
284150,Asuncion,Stratovolcano,1906,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",19.671,145.406,857,Subduction zone / Crustal thickness unknown,Eruption Observed,0,0,0,0,7,840
282070,Ata,Caldera,885,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.22,130.57,924,Subduction zone / Continental crust (>25 km),Eruption Observed,93134,93134,171590,1891380,1,392
352021,Atacazo,Stratovolcano,-320,Ecuador,South America,Ecuador,-0.353,-78.617,4463,Subduction zone / Continental crust (>25 km),Eruption Dated,449,212988,1837303,3769593,0,218
311160,Atka,Stratovolcano,1812,United States,Alaska,Aleutian Islands,52.331,-174.139,1448,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,0,207,207,3,840
320030,Atlin Volcanic Field,Pyroclastic cone,Unknown,Canada,Canada and Western USA,Canada,59.68,-133.32,1880,Intraplate / Continental crust (>25 km),Evidence Credible,0,0,94,956,1,124
357023,"Atuel, Caldera del",Caldera,Unknown,Argentina,South America,Central Chile and Argentina,-34.65,-70.05,5189,Subduction zone / Continental crust (>25 km),Evidence Credible,297,297,1003,676916,0,32
241020,Auckland Volcanic Field,Volcanic field,1350,New Zealand,New Zealand to Fiji,New Zealand,-36.9,174.87,260,Subduction zone / Continental crust (>25 km),Eruption Dated,1049110,1049110,1222436,1446768,1,554
313010,Augustine,Lave dome,2006,United States,Alaska,Alaska (southwestern),59.363,-153.43,1252,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,0,759,13,840
300100,Avachinsky,Stratovolcano,2001,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.256,158.836,2717,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,180016,270205,26,643
331021,Axial Seamount,Submarine,2015,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),45.95,-130.0,-1410,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,9,0
302070,Azas Plateau,Volcanic field,Unknown,Russia,Kamchatka and Mainland Asia,Russia (southeastern),52.433,98.303,2765,Rift zone / Continental crust (>25 km),Evidence Credible,142,142,142,4532,0,643
355061,"Azufre, Cerro del",Stratovolcano,Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-21.787,-68.237,5846,Subduction zone / Continental crust (>25 km),Evidence Uncertain,0,58,1143,55567,0,152
353060,"Azul, Cerro",Shield,2008,Ecuador,South America,Galapagos Islands,-0.92,-91.408,1640,Rift zone / Oceanic crust (< 15 km),Eruption Observed,220,220,314,1936,13,218
357060,"Azul, Cerro",Stratovolcano,1967,Chile,South America,Central Chile and Argentina,-35.653,-70.761,3788,Subduction zone / Continental crust (>25 km),Eruption Observed,9,158,3832,720948,11,152
283180,Azumayama,Stratovolcano,1977,Japan,"Japan, Taiwan, Marianas",Honshu,37.735,140.244,1949,Subduction zone / Continental crust (>25 km),Eruption Observed,128,907,548195,4877648,14,392
274030,Babuyan Claro,Stratovolcano,1924,Philippines,Philippines and SE Asia,North of Luzon,19.523,121.94,1080,Subduction zone / Crustal thickness unknown,Eruption Observed,208,222,222,11819,9,608
322090,Bachelor,Stratovolcano,-5800,United States,Canada and Western USA,USA (Oregon),43.979,-121.688,2763,Subduction zone / Continental crust (>25 km),Eruption Dated,18,24,22514,231420,0,840
255020,Bagana,Lava cone,2020,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,-6.137,155.196,1855,Subduction zone / Crustal thickness unknown,Eruption Observed,198,404,7861,115257,26,598
300123,Bakening,Stratovolcano,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.905,158.07,2278,Subduction zone / Continental crust (>25 km),Eruption Dated,0,10,1583,87139,0,643
321010,Baker,Stratovolcano,1880,United States,Canada and Western USA,USA (Washington),48.777,-121.813,3285,Subduction zone / Continental crust (>25 km),Eruption Observed,0,46,8568,1990504,18,840
231170,"Bal Haf, Harra of",Volcanic field,Unknown,Yemen,Middle East and Indian Ocean,Middle East (southern),14.067,48.3,604,Intraplate / Continental crust (>25 km),Evidence Credible,5690,5690,6643,177124,0,887
250020,Baluan,Stratovolcano,Unknown,Papua New Guinea,Melanesia and Australia,Admiralty Islands,-2.57,147.28,254,Subduction zone / Continental crust (>25 km),Evidence Uncertain,242,248,982,46898,1,598
271010,Balut,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Mindanao,5.4,125.375,862,Subduction zone / Continental crust (>25 km),Unrest / Holocene,1472,1901,10763,1286239,0,608
273050,Banahaw,Complex,Unknown,Philippines,Philippines and SE Asia,Luzon,14.07,121.48,2158,Subduction zone / Continental crust (>25 km),Evidence Credible,754,93134,1698285,23837289,4,608
265090,Banda Api,Caldera,1988,Indonesia,Indonesia,Banda Sea,-4.523,129.881,596,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,5682,5682,5810,5810,27,360
283160,Bandaisan,Stratovolcano,1888,Japan,"Japan, Taiwan, Marianas",Honshu,37.601,140.072,1816,Subduction zone / Continental crust (>25 km),Eruption Observed,5923,17608,327454,4709782,6,392
341020,Barcena,Pyroclastic cone,1953,Mexico,México and Central America,Mexico,19.3,-110.82,332,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,1,484
373030,Bardarbunga,Stratovolcano,2015,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),64.633,-17.516,2000,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,1348,41,352
300084,Barkhatnaya Sopka,Lave dome,-3550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.802,158.24,874,Subduction zone / Continental crust (>25 km),Eruption Dated,0,208,13963,252873,0,643
222030,"Barrier, The",Shield,1921,Kenya,Africa and Red Sea,Africa (eastern),2.32,36.57,1032,Rift zone / Continental crust (>25 km),Eruption Observed,17,112,4180,109675,11,404
345050,Barva,Complex,-6050,Costa Rica,México and Central America,Costa Rica,10.135,-84.1,2906,Subduction zone / Continental crust (>25 km),Eruption Dated,177,8018,2004665,3399329,1,188
275050,Bas Dong Nai,Volcanic field,Unknown,Vietnam,Philippines and SE Asia,Southeast Asia,10.8,107.2,392,Intraplate / Continental crust (>25 km),Evidence Uncertain,991688,991688,991688,12300349,0,704
264010,Batur,Caldera,2000,Indonesia,Indonesia,Lesser Sunda Islands,-8.242,115.375,1717,Subduction zone / Continental crust (>25 km),Eruption Observed,466899,466899,937766,4289189,28,360
355122,"Bayo Gorbea, Cerro",Complex,Unknown,Chile-Argentina,South America,"Northern Chile, Bolivia and Argentina",-25.414,-68.588,5413,Subduction zone / Continental crust (>25 km),Evidence Credible,0,26,288,7824,0,0
225060,Bayuda Volcanic Field,Pyroclastic cone,850,Sudan,Africa and Red Sea,Africa (northern),18.33,32.75,670,Intraplate / Continental crust (>25 km),Eruption Dated,1124,1124,2752,259325,0,729
322060,Belknap,Shield,480,United States,Canada and Western USA,USA (Oregon),44.285,-121.841,2095,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,6518,362091,0,840
300640,Bely,Shield,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,57.88,160.53,2080,Subduction zone / Continental crust (>25 km),Evidence Uncertain,0,0,20,1320,0,643
390022,Berlin,Shield,-8350,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-76.05,-136.0,3478,Intraplate / Continental crust (>25 km),Eruption Dated,0,0,0,0,0,10
290040,Berutarubesan [Berutarube],Stratovolcano,Unknown,Japan - administered by Russia,Kuril Islands,Kuril Islands,44.462,146.932,1221,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,0,113,240,9155,1,0
300250,Bezymianny,Stratovolcano,2020,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.972,160.595,2882,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,47,11728,52,643
268073,Bibinoi,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,-0.761,127.725,932,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,53,4276,15604,83771,0,360
272080,Biliran,Compound,1939,Philippines,Philippines and SE Asia,Central Philippines,11.523,124.535,1301,Subduction zone / Continental crust (>25 km),Eruption Observed,4612,78799,254519,3177850,1,608
255011,Billy Mitchell,Pyroclastic shield,1580,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,-6.092,155.225,1544,Subduction zone / Crustal thickness unknown,Eruption Dated,113,449,9620,119191,2,598
231072,"Birk, Harrat al",Volcanic field,Unknown,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),18.37,41.63,587,Intraplate / Continental crust (>25 km),Evidence Credible,37855,37855,37855,596401,0,682
221220,Bishoftu Volcanic Field,Fissure vent(s),Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.78,38.98,1850,Rift zone / Continental crust (>25 km),Evidence Credible,310101,310101,662037,7986826,0,231
324010,Black Butte Crater Lava Field,Shield,-8400,United States,Canada and Western USA,USA (Idaho),43.183,-114.352,1478,Rift zone / Continental crust (>25 km),Eruption Dated,119,158,4440,171376,0,840
327050,Black Rock Desert,Volcanic field,1290,United States,Canada and Western USA,USA (Utah),38.97,-112.5,1800,Rift zone / Continental crust (>25 km),Eruption Dated,3292,3292,3679,54291,1,840
357102,"Blanca, Laguna",Volcanic field,Unknown,Argentina,South America,Central Chile and Argentina,-39.02,-70.37,1700,Intraplate / Continental crust (>25 km),Evidence Credible,0,0,0,0,0,32
355210,"Blanco, Cerro",Caldera,-2300,Argentina,South America,"Northern Chile, Bolivia and Argentina",-26.789,-67.765,4670,Subduction zone / Continental crust (>25 km),Eruption Dated,39,39,65,14279,0,32
311300,Bogoslof,Submarine,2017,United States,Alaska,Aleutian Islands,53.93,-168.03,150,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,0,0,4216,12,840
300087,Bolshe-Bannaya,Lave dome,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.9,157.78,1200,Subduction zone / Continental crust (>25 km),Evidence Credible,0,27,1061,271762,0,643
300300,Bolshoi Payalpan,Shield,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.88,157.78,1906,Subduction zone / Continental crust (>25 km),Evidence Uncertain,0,0,26,2653,0,643
300150,Bolshoi Semiachik,Stratovolcano,-4450,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.32,160.02,1720,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,554,7373,0,643
300360,Bolshoi-Kekuknaysky,Shield,-5310,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.483,157.917,1401,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,158,2779,0,643
221240,Bora-Bericcio,Pyroclastic cone,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.221,39.05,2267,Rift zone / Continental crust (>25 km),Evidence Credible,5822,44666,433373,8356559,0,231
221107,Borawli,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.304,40.987,784,Rift zone / Intermediate crust (15-25 km),Evidence Credible,38,100,3699,111101,0,231
221210,Boset-Bericha,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.558,39.475,2447,Rift zone / Continental crust (>25 km),Evidence Credible,3267,19603,586318,7130451,0,231
386020,Bouvet,Shield,-50,Norway,Atlantic Ocean,Atlantic Ocean (southern),-54.408,3.351,741,Rift zone / Oceanic crust (< 15 km),Eruption Dated,0,0,0,0,1,578
351012,"Bravo, Cerro",Stratovolcano,1720,Colombia,South America,Colombia,5.091,-75.293,3985,Subduction zone / Continental crust (>25 km),Eruption Dated,1679,4916,538690,3929468,3,170
371040,Brennisteinsfjoll,Crater rows,1341,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),63.933,-21.783,610,Rift zone / Oceanic crust (< 15 km),Eruption Observed,33526,33526,163469,203012,2,352
320170,Bridge River Cones,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,50.8,-123.4,2500,Subduction zone / Continental crust (>25 km),Evidence Credible,55,55,219,15871,0,124
390080,Bristol Island,Stratovolcano,2016,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,-59.017,-26.533,1100,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,6,826
390010,Buckle Island,Stratovolcano,1899,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-66.78,163.25,1239,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,2,10
311010,Buldir,Stratovolcano,Unknown,United States,Alaska,Aleutian Islands,52.35,175.911,656,Subduction zone / Intermediate crust (15-25 km),Evidence Uncertain,0,0,0,0,0,840
273010,Bulusan,Stratovolcano,2017,Philippines,Philippines and SE Asia,Luzon,12.769,124.056,1535,Subduction zone / Continental crust (>25 km),Eruption Observed,2789,74286,518705,3360418,22,608
223004,Bunyaruguru,Maar(s),Unknown,Uganda,Africa and Red Sea,Africa (central),-0.2,30.08,1554,Rift zone / Continental crust (>25 km),Evidence Credible,177517,177517,338735,5955535,0,800
